config,test_year,brier_D,brier_D_PS,improvement_D_to_DPS,auc_D,auc_D_PS,n_test
w120_s0.50_n20,2021,0.07777424814479723,0.07755159734298465,0.00022265080181257946,0.6050275843997153,0.6163209333153968,6048
w120_s0.50_n20,2022,0.10198455025984952,0.10205777231239405,-7.322205254452208e-05,0.5888782601695824,0.5918027530320918,6024
w120_s0.50_n20,2023,0.0661849799476213,0.06593444845053728,0.000250531497084025,0.5772307561017239,0.585938940092166,6000
w120_s0.50_n20,2024,0.09118341309190296,0.09124751683473718,-6.41037428342206e-05,0.5806969550680328,0.578607699047006,6048
w120_s0.50_n20,2025,0.09047260021377206,0.08988466652895313,0.0005879336848189226,0.6332950593596355,0.6412422053003958,6000
w120_s0.50_n20,2026,0.11218849610686259,0.11203675144794024,0.00015174465892234257,0.5534359127894137,0.5588499464913622,2904
w120_s0.50_n30,2021,0.07777424814479723,0.07749407481504433,0.0002801733297529002,0.6050275843997153,0.6176714268498433,6048
w120_s0.50_n30,2022,0.10198455025984952,0.10196733082378735,1.7219436062171356e-05,0.5888782601695824,0.5937391327680583,6024
w120_s0.50_n30,2023,0.0661849799476213,0.06594324412155704,0.00024173582606426547,0.5772307561017239,0.5855299539170506,6000
w120_s0.50_n30,2024,0.09118341309190296,0.09125280502617242,-6.939193426945545e-05,0.5806969550680328,0.5783281779875675,6048
w120_s0.50_n30,2025,0.09047260021377206,0.08991081087233872,0.000561789341433333,0.6332950593596355,0.6405029080225446,6000
w120_s0.50_n30,2026,0.11218849610686259,0.1119667710744251,0.0002217250324374892,0.5534359127894137,0.5613093266405068,2904
w120_s0.50_n50,2021,0.07777424814479723,0.07746285517891185,0.00031139296588537924,0.6050275843997153,0.6198626945691592,6048
w120_s0.50_n50,2022,0.10198455025984952,0.10192288780659878,6.166245325074649e-05,0.5888782601695824,0.5943684930771707,6024
w120_s0.50_n50,2023,0.0661849799476213,0.06583593042458886,0.00034904952303244086,0.5772307561017239,0.5899276753712238,6000
w120_s0.50_n50,2024,0.09118341309190296,0.09117881045471173,4.602637191236658e-06,0.5806969550680328,0.5820118662351672,6048
w120_s0.50_n50,2025,0.09047260021377206,0.08988663477540886,0.0005859654383632007,0.6332950593596355,0.6408644621657273,6000
w120_s0.50_n50,2026,0.11218849610686259,0.11194707850200536,0.00024141760485722752,0.5534359127894137,0.5617520469177326,2904
w120_s1.00_n20,2021,0.07777424814479723,0.07734532035590477,0.00042892778889246086,0.6050275843997153,0.6174416152393124,6048
w120_s1.00_n20,2022,0.10198455025984952,0.10161485385638616,0.00036969640346336263,0.5888782601695824,0.5991844209509498,6024
w120_s1.00_n20,2023,0.0661849799476213,0.06598830357391673,0.00019667637370457403,0.5772307561017239,0.5789586533538147,6000
w120_s1.00_n20,2024,0.09118341309190296,0.09107678954247478,0.00010662354942818364,0.5806969550680328,0.5823340008463112,6048
w120_s1.00_n20,2025,0.09047260021377206,0.08981345607701952,0.0006591441367525402,0.6332950593596355,0.6423616440820242,6000
w120_s1.00_n20,2026,0.11218849610686259,0.11198337111620528,0.00020512499065730716,0.5534359127894137,0.5612636744296658,2904
w120_s1.00_n30,2021,0.07777424814479723,0.07721187051748336,0.0005623776273138703,0.6050275843997153,0.6209683126222625,6048
w120_s1.00_n30,2022,0.10198455025984952,0.1016151377757387,0.0003694124841108204,0.5888782601695824,0.6002083556938929,6024
w120_s1.00_n30,2023,0.0661849799476213,0.0658933507746506,0.0002916291729707088,0.5772307561017239,0.5851041133299197,6000
w120_s1.00_n30,2024,0.09118341309190296,0.09110615742707343,7.725566482953694e-05,0.5806969550680328,0.5818004374593979,6048
w120_s1.00_n30,2025,0.09047260021377206,0.08975502601479422,0.0007175741989778328,0.6332950593596355,0.6416933984890275,6000
w120_s1.00_n30,2026,0.11218849610686259,0.11202662422937265,0.0001618718774899358,0.5534359127894137,0.5594848307258489,2904
w120_s1.00_n50,2021,0.07777424814479723,0.07723581191037805,0.0005384362344191818,0.6050275843997153,0.6213536674569944,6048
w120_s1.00_n50,2022,0.10198455025984952,0.10155777600616228,0.00042677425368724264,0.5888782601695824,0.6018251583127616,6024
w120_s1.00_n50,2023,0.0661849799476213,0.0657254009037091,0.00045957904391220883,0.5772307561017239,0.5916634664618536,6000
w120_s1.00_n50,2024,0.09118341309190296,0.09104057493121738,0.0001428381606855822,0.5806969550680328,0.5850585861836733,6048
w120_s1.00_n50,2025,0.09047260021377206,0.08961579783247844,0.0008568023812936115,0.6332950593596355,0.6459383619138985,6000
w120_s1.00_n50,2026,0.11218849610686259,0.11205830911702615,0.0001301869898364394,0.5534359127894137,0.5597582131512341,2904
